stellar_mass_msun,rotation_percentile_150Myr,initial_omega_sun,track_max_age_myr,track_final_period_days,rotation_match,nearest_or_crossing_age_myr,nearest_or_matched_period_days,rotation_match_age_myr,current_euv_flux_erg_s_cm2,current_x_flux_erg_s_cm2,current_x_luminosity_erg_s,current_mdot_msun_yr,cumulative_euv_fluence_erg_cm2,cumulative_x_fluence_erg_cm2,cumulative_wind_column_kg_m2
0.2,27,8.16,12000.0,137.55921039312676,True,11008.5700573117,131.0,11008.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.32828598853766e-15,5.532826857551234e+19,4.569982479828722e+19,74775.4493919827
0.2,28,8.28,12000.0,137.55921039312676,True,11008.5700573117,131.0,11008.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,5.557459615499724e+19,4.602641237333593e+19,75137.3131111498
0.2,29,8.4,12000.0,137.55921039312676,True,11008.5700573117,131.0,11008.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,5.572073756191487e+19,4.6222646866537185e+19,75375.92002589584
0.2,30,8.4,12000.0,137.55921039312676,True,11008.5700573117,131.0,11008.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,5.572073756191487e+19,4.6222646866537185e+19,75375.92002589584
0.2,31,8.52,12000.0,137.55921039312676,True,11008.5700573117,131.0,11008.5700573117,43.27548475567145,14.012311756745492,3.52657197707532e+26,1.32914299426883e-15,5.588700397596272e+19,4.6400083227340734e+19,75558.43061300291
0.2,32,8.58,12000.0,136.86795807959348,True,11008.5700573117,131.0,11008.5700573117,43.27548475567145,14.012311756745492,3.52657197707532e+26,1.32914299426883e-15,5.600048143049764e+19,4.652584884822308e+19,75680.10433774098
0.2,33,8.64,12000.0,136.86795807959348,True,11008.5700573117,131.0,11008.5700573117,43.27548475567145,14.012311756745492,3.52657197707532e+26,1.32914299426883e-15,5.6066687061430714e+19,4.660183485645309e+19,75763.06369551693
0.2,34,8.77,12000.0,136.86795807959348,True,11104.264328034324,131.0,11104.264328034324,42.91220141162573,13.901648836077946,3.498720701589703e+26,1.3195735671965676e-15,5.637874101342604e+19,4.688235423463871e+19,76082.04914180463
0.2,35,8.89,12000.0,136.86795807959348,True,11108.5700573117,131.0,11108.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,5.650538459573119e+19,4.705195121364013e+19,76269.04806685969
0.2,36,8.89,12000.0,136.86795807959348,True,11108.5700573117,131.0,11108.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,5.650538459573119e+19,4.705195121364013e+19,76269.04806685969
0.2,37,8.95,12000.0,136.86795807959348,True,11108.5700573117,131.0,11108.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,5.656751506945722e+19,4.711859570765704e+19,76356.74795936569
0.2,38,9.13,12000.0,136.86795807959348,True,11108.5700573117,131.0,11108.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.32828598853766e-15,5.7084410552848015e+19,4.775075737850862e+19,77006.66107159486
0.2,39,9.13,12000.0,136.86795807959348,True,11108.5700573117,131.0,11108.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.32828598853766e-15,5.7084410552848015e+19,4.775075737850862e+19,77006.66107159486
0.2,40,9.25,12000.0,136.86795807959348,True,11108.5700573117,131.0,11108.5700573117,43.27548475567145,13.972578236919912,3.51657197707532e+26,1.32828598853766e-15,5.722020732993234e+19,4.7921736182507135e+19,77189.9617478236
0.2,41,9.32,12000.0,136.86795807959348,True,11108.5700573117,131.0,11108.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.32828598853766e-15,5.714290473245082e+19,4.780737071632356e+19,77062.75739923384
0.2,42,9.5,12000.0,136.86795807959348,True,11108.5700573117,131.0,11108.5700573117,43.27548475567145,13.972578236919912,3.51657197707532e+26,1.32828598853766e-15,5.733957808873592e+19,4.806699986325708e+19,77351.93001776712
0.2,43,9.56,12000.0,136.86795807959348,True,11108.5700573117,131.0,11108.5700573117,43.27548475567145,13.972578236919912,3.51657197707532e+26,1.32914299426883e-15,5.740584641439526e+19,4.815301702768908e+19,77468.07602009308
0.2,44,9.62,12000.0,136.86795807959348,True,11108.5700573117,131.0,11108.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,5.749650298857067e+19,4.8285303360569655e+19,77583.42903185776
0.2,45,9.62,12000.0,136.86795807959348,True,11108.5700573117,131.0,11108.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,5.749650298857067e+19,4.8285303360569655e+19,77583.42903185776
0.2,46,9.8,12000.0,136.86795807959348,True,11108.5700573117,131.0,11108.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,5.772634185504858e+19,4.858034474236044e+19,77903.41512613639
0.2,47,9.99,12000.0,136.1836182891955,True,11154.065245139773,131.0,11154.065245139773,43.09471636091793,13.961486423740443,3.513780426458068e+26,1.3245934754860226e-15,5.808746006081799e+19,4.8929147638474056e+19,78288.47779548107
0.2,48,10.11,12000.0,136.1836182891955,True,11204.264328034324,131.0,11204.264328034324,42.91220141162573,13.901648836077946,3.498720701589703e+26,1.3195735671965676e-15,5.827149479928744e+19,4.910494497536652e+19,78476.80926960366
0.2,49,10.23,12000.0,136.1836182891955,True,11208.5700573117,131.0,11208.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,5.843475210172984e+19,4.932758169278592e+19,78695.41175952574
0.2,50,10.35,12000.0,136.1836182891955,True,11208.5700573117,131.0,11208.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,5.855105081894656e+19,4.948475737152573e+19,78854.21967298257
0.2,51,10.6,12000.0,136.1836182891955,True,11208.5700573117,131.0,11208.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.31914299426883e-15,5.887371804037649e+19,4.988946257549736e+19,79264.27592713226
0.2,52,10.6,12000.0,136.1836182891955,True,11208.5700573117,131.0,11208.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.31914299426883e-15,5.887371804037649e+19,4.988946257549736e+19,79264.27592713226
0.2,53,10.66,12000.0,136.1836182891955,True,11208.5700573117,131.0,11208.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.32828598853766e-15,5.903898133880413e+19,5.004206153922001e+19,79433.02476426092
0.2,54,10.72,12000.0,136.1836182891955,True,11208.5700573117,131.0,11208.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.32828598853766e-15,5.909415269791503e+19,5.013754560731762e+19,79510.45349818515
0.2,55,10.84,12000.0,136.1836182891955,True,11208.5700573117,131.0,11208.5700573117,43.27548475567145,13.972578236919912,3.51657197707532e+26,1.32828598853766e-15,5.922468311799332e+19,5.028858748836471e+19,79700.86497650898
0.2,56,11.09,12000.0,136.1836182891955,True,11208.5700573117,131.0,11208.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,5.951633898456594e+19,5.069992804783917e+19,80129.09618189685
0.2,57,11.21,12000.0,136.1836182891955,True,11208.5700573117,131.0,11208.5700573117,43.27548475567145,14.012311756745492,3.52657197707532e+26,1.32914299426883e-15,5.972730673843886e+19,5.093435391481522e+19,80396.14630502323
0.2,58,11.33,12000.0,136.1836182891955,True,11208.5700573117,131.0,11208.5700573117,43.27548475567145,14.012311756745492,3.52657197707532e+26,1.32914299426883e-15,5.984253964530912e+19,5.106168690385412e+19,80510.7092276662
