stellar_mass_msun,rotation_percentile_150Myr,initial_omega_sun,rotation_match_age_myr,matched_period_days,current_euv_flux_erg_s_cm2,current_x_flux_erg_s_cm2,current_mdot_msun_yr,cumulative_euv_fluence_erg_cm2,cumulative_x_fluence_erg_cm2,cumulative_wind_column_kg_m2
0.4,85,17.31,3459.6247696257415,54.0,80.6537432111749,35.79449468877042,1.1861500921497035e-14,3.182858852993097e+19,3.1636197673000292e+19,60752.7246461858
0.4,86,17.92,3475.802334509257,54.0,80.55371191070004,35.690550319899465,1.1820988327453715e-14,3.2178499127042265e+19,3.2079922703488135e+19,61430.32628602286
0.4,87,18.16,3477.959157676223,54.0,80.63816273683653,35.79225685202894,1.1888163369295107e-14,3.233526865661801e+19,3.2307341548512244e+19,61775.68576096794
0.4,88,18.47,3485.9259002833755,54.0,80.59091350251272,35.69417038993695,1.1856296398866497e-14,3.2498004492983656e+19,3.250837225662338e+19,62096.0048041292
0.4,89,18.9,3496.437736077079,54.0,80.61931373561798,35.78790408612968,1.1817811319614604e-14,3.280285706951821e+19,3.292190975192211e+19,62749.43305620741
0.4,90,19.14,3506.047639788314,54.0,80.54288114069729,35.65501372096325,1.1775809440846743e-14,3.2953180234447806e+19,3.3095506017603994e+19,62994.655288250906
0.4,91,19.39,3506.047639788314,54.0,80.67622313381396,35.78029167064966,1.186976180105843e-14,3.307420537925679e+19,3.326574240653841e+19,63211.70067100441
0.4,92,20.12,3525.7792908339616,54.0,80.65527988469849,35.75755931231298,1.1796882836664154e-14,3.345262442377329e+19,3.3740945867224728e+19,63881.61171613452
0.4,93,20.36,3525.7792908339616,54.0,80.68965450490784,35.791933932522326,1.1871103545830191e-14,3.3549821087256777e+19,3.3871953435328905e+19,64065.953701944745
0.4,94,20.85,3541.434571925634,54.0,80.58796284956138,35.71652528728247,1.1834261712297464e-14,3.385026656280362e+19,3.4248907794726728e+19,64638.69442602258
0.4,95,21.83,3565.718421081492,54.0,80.60324172651018,35.70511532941894,1.1837126315674032e-14,3.442028491329493e+19,3.499327648177597e+19,65782.47669505139
0.4,96,22.56,3577.959157676223,54.0,80.63816273683653,35.79225685202894,1.1810204211618885e-14,3.4865805521801363e+19,3.558192871301503e+19,66738.55607603303
0.4,97,23.05,3587.1804230828548,54.0,80.67872391927514,35.79034483522403,1.185127830766858e-14,3.510186954191817e+19,3.5903301538867462e+19,67252.80586984429
0.4,98,23.78,3606.047639788314,54.0,80.55094518412754,35.65501372096325,1.1775809440846743e-14,3.541291905516918e+19,3.627368897241665e+19,67815.81506240799
0.45,2,1.63,3465.6344538649882,54.0,75.92980514565001,29.343496724403728,1.0049040756110527e-14,1.955254969751886e+19,1.3718634135579193e+19,34101.43080548688
0.45,3,2.11,3522.8425285997773,54.0,75.96703323359961,29.419170374420155,1.0049746437080489e-14,2.0960214368476725e+19,1.5353139976957874e+19,37398.82468327816
0.45,4,2.16,3532.353788043629,54.0,75.97355019758697,29.343075356942585,1.0032057045108379e-14,2.107661285697822e+19,1.5484199837898031e+19,37677.769084753614
0.45,5,2.39,3557.315744448335,54.0,75.90738648191083,29.410050722030224,1.0056710638879162e-14,2.167648149225228e+19,1.6186440064902093e+19,39058.07963556441
0.45,6,2.57,3580.0117213715444,54.0,75.87143778827709,29.361813107226652,1.0059964835885366e-14,2.218471544336809e+19,1.6770442574293152e+19,40215.3127451834
0.45,7,2.66,3582.4759625848073,54.0,75.97192109790409,29.342097897132852,1.0052572112245577e-14,2.2338828882274906e+19,1.697777870834996e+19,40596.4028669867
0.45,8,2.75,3594.4456350871737,54.0,75.94565709217883,29.379676290944357,1.0016663094738478e-14,2.2518916792117297e+19,1.7185521537443492e+19,41016.55703447481
0.45,9,2.91,3608.691845929525,54.0,76.02237926360422,29.399041195176267,1.0077401200583235e-14,2.293584603294154e+19,1.7673839860840323e+19,41931.917006113115
0.45,10,3.15,3622.8425285997773,54.0,76.10037522671627,29.419170374420155,1.0052030689940467e-14,2.3345336329462465e+19,1.8169249591622697e+19,42876.891960046465
0.45,11,3.33,3644.809983529512,54.0,76.0005493225833,29.376761314094942,1.0079013044470318e-14,2.379597822279809e+19,1.8684332530577703e+19,43836.50756797476
0.45,12,3.46,3651.3138325675095,54.0,75.98741717118081,29.458069135592215,1.0071715418581226e-14,2.3995196300839256e+19,1.8919316916124877e+19,44279.90116764375
0.45,13,3.58,3657.315744448335,54.0,76.04072847502749,29.410050722030224,1.006817378776883e-14,2.4173974628950155e+19,1.9135983878138462e+19,44683.38343500375
0.45,14,3.76,3680.0117213715444,54.0,76.00477978139375,29.361813107226652,1.0059964835885366e-14,2.459778734200801e+19,1.9629283954536464e+19,45576.70862118536
0.45,15,3.94,3682.4759625848073,54.0,76.10526309102076,29.475439890249515,1.0052572112245577e-14,2.4830452598334857e+19,1.9922872509842305e+19,46100.447588531
0.45,16,4.13,3695.1304198024536,54.0,76.06986802941637,29.374197657416882,1.0109739160395092e-14,2.5102158818479006e+19,2.023618611542442e+19,46664.01513912594
0.45,17,4.25,3708.691845929525,54.0,76.02237926360422,29.399041195176267,1.0077401200583235e-14,2.5267136310223225e+19,2.0426177943516766e+19,47000.856234097955
0.45,18,4.31,3708.691845929525,54.0,76.02237926360422,29.399041195176267,1.0078270385176187e-14,2.5340333657563242e+19,2.0517785086465438e+19,47165.910964940296
0.45,19,4.43,3722.8425285997773,54.0,75.99749191651279,29.419170374420155,1.0049746437080489e-14,2.5674647885626794e+19,2.0904461304441487e+19,47854.21613652841
0.45,20,4.49,3722.8425285997773,54.0,76.10037522671627,29.419170374420155,1.0052030689940467e-14,2.5753611112037933e+19,2.100406355862592e+19,48032.13639104995
